Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1975.1.13,False,True,458953,Robert Lehman Collection,Painting,Saint Ansanus,,,,,,Artist,,Simone Martini,"Italian, Siena, active by 1315–died 1344 Avignon",,"Martini, Simone",Italian,1315      ,1344      ,ca. 1326,1323,1329,"Tempera on wood, gold ground",Overall 22 5/8 x 15 in. (57.5 x 38.1 cm); painted surface 22 1/2 x 14 1/2 in. (57.2 x 36.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458953,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.14,False,True,458954,Robert Lehman Collection,Painting,Saint Mary Magdalen,,,,,,Former Attribution|Former Attribution|Artist,,"Follower of Barna da Siena|Follower of Lippo Memmi (Italian, Sienese, active mid-14th century)|Bartolo di Fredi","Sienese, active mid-14th century|Italian, active by 1353–died 1410 Siena",,"Siena, Barna da|Memmi, Lippo, Follower of (Italian, Sienese, active|Bartolo di Fredi",Sienese|Italian|Italian,1350      |1329      |1353      ,1350      |1369      |1410      ,mid-14th century,1336,1370,"Tempera on wood, gold ground","Overall, with original side and bottom moldings, 17 x 10 3/4 in. (43.2 x 27.3 cm); painted surface 15 5/8 x 8 3/8 in. (39.7 x 21.3 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458954,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.15,False,True,458955,Robert Lehman Collection,Painting,Saint Peter,"Italian, Siena",,,,,Former Attribution|Artist,,"Follower of Barna da Siena|Follower of Lippo Memmi (Italian, Sienese, active mid-14th century)","Sienese, active mid-14th century",,"Siena, Barna da|Memmi, Lippo, Follower of (Italian, Sienese, active",Sienese|Italian,1350      |1329      ,1350      |1369      ,mid-14th century,1336,1370,"Tempera on wood, gold ground","Overall, with original side and bottom moldings, 17 5/8 x 10 7/8 in. (44.8 x 27.6 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458955,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.16,True,True,458956,Robert Lehman Collection,Painting,The Adoration of the Magi,,,,,,Artist,,Bartolo di Fredi,"Italian, active by 1353–died 1410 Siena",,Bartolo di Fredi,Italian,1353      ,1410      ,ca. 1390,1387,1393,Tempera and gold on wood,58 1/2 x 35 1/8 in. (148.6 x 89.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458956,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.17,False,True,458957,Robert Lehman Collection,Painting fragment,Head of an Angel in Full Face,,,,,,Artist,,Taddeo di Bartolo,"Italian, Siena ca. 1362–1422 Siena",,Taddeo di Bartolo,Italian,1362      ,1422      ,ca. 1397,1394,1400,Tempera on wood (paint around head scraped away and vacant area gessoed),6 1/4 x 4 3/4 in. (15.9 x 12.1 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458957,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.18,False,True,458958,Robert Lehman Collection,Painting fragment,Head of the Virgin,,,,,,Artist,,Taddeo di Bartolo,"Italian, Siena ca. 1362–1422 Siena",,Taddeo di Bartolo,Italian,1362      ,1422      ,ca. 1397,1394,1400,Tempera on wood (paint around head scraped away and vacant area gessoed),7 3/4 x 5 3/8 in. (19.7 x 13.7 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458958,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.19,False,True,458959,Robert Lehman Collection,Painting fragment,Head of an Angel in Left Profile,,,,,,Artist,,Taddeo di Bartolo,"Italian, Siena ca. 1362–1422 Siena",,Taddeo di Bartolo,Italian,1362      ,1422      ,ca. 1397,1394,1400,Tempera on wood (paint around head scraped away and vacant area gessoed),5 7/8 x 5 1/4 in. (14.9 x 13.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458959,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.20,False,True,458960,Robert Lehman Collection,Painting,The Lamentation over the Dead Christ,"Italian, Siena",,,,,Artist,,Workshop of  Niccolò di Buonaccorso,"Italian (Sienese), active by 1372, died 1388",,"Niccolò di Buonaccorso, Workshop of",Italian,1372      ,1388      ,1370–88,1370,1388,"Tempera on wood, gold ground",Overall: 16 1/8 x 10 1/2 in. (41 x 26.7 cm); Painted Surface: 15 1/2 x 10 in. (39.4 x 25.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458960,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.21,True,True,458961,Robert Lehman Collection,Painting,The Coronation of the Virgin,,,,,,Artist,,Niccolò di Buonaccorso,"Italian, active Siena by 1372–died 1388 Siena",,Niccolò di Buonaccorso,Italian,1372      ,1388      ,ca. 1380,1377,1383,"Tempera on wood, gold ground","Overall, with engaged frame, 20 x 12 7/8 in. (50.8 x 32.7 cm); painted surface 17 5/8 x 10 1/2 in. (44.8 x 26.7 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458961,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.22,False,True,458962,Robert Lehman Collection,Diptych,Diptyc,"Italian, Siena",,,,,Artist,,Workshop of  Paolo di Giovanni Fei,"Italian, Sienese, active by 1369, died 1411",,"Fei, Paolo di Giovanni",Italian,1369      ,1411      ,1400–1410,1400,1410,"Tempera on wood, gold ground","Left wing, overall, with engaged frame, 17 7/8 x 7 3/4 in. (45.4 x 19.7 cm); left wing, painted surface, including gable, 15 7/8 x 6 1/2 in. (40.3 x 16.5 cm); right wing, overall, with engaged frame, 18 x 7 3/4 in. (45.7 x 19.7 cm); right wing, painted surface, including gable, 15 7/8 x 6 1/2 in. (40.3 x 16.5 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/458962,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
